ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13749381,JJ150158,02/15/2025 02:38:00 AM,004XX S CLARK ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",false,false,0122,001,34,32,04B,1175595,1898323,2025,02/23/2025 03:41:06 PM,41.8763717,-87.630734709,POINT (-87.630734709 41.8763717)
13749329,JJ150163,02/15/2025 02:36:00 AM,077XX S JEFFERY BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0414,004,8,43,08B,1190877,1854125,2025,02/23/2025 03:41:06 PM,41.754732917,-87.576055481,POINT (-87.576055481 41.754732917)
13749359,JJ150160,02/15/2025 02:30:00 AM,065XX S ELLIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0321,003,20,42,14,1184012,1861905,2025,02/23/2025 03:41:06 PM,41.77624505,-87.6009706,POINT (-87.6009706 41.77624505)
13749356,JJ150183,02/15/2025 02:30:00 AM,115XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0524,005,21,53,08B,1171061,1828316,2025,02/23/2025 03:41:06 PM,41.684364932,-87.649426251,POINT (-87.649426251 41.684364932)
13749361,JJ150155,02/15/2025 02:27:00 AM,074XX S ST LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0323,003,6,69,07,1181521,1855914,2025,02/23/2025 03:41:06 PM,41.759862994,-87.610286968,POINT (-87.610286968 41.759862994)
13749430,JJ150172,02/15/2025 02:27:00 AM,0000X E NORTH AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,STREET,true,false,1824,018,43,8,15,1176398,1911039,2025,02/23/2025 03:41:06 PM,41.911246972,-87.627402256,POINT (-87.627402256 41.911246972)
13749428,JJ150185,02/15/2025 02:24:00 AM,038XX W 66TH PL,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,true,true,0833,008,23,65,04A,1151901,1860232,2025,02/24/2025 03:41:43 PM,41.772344184,-87.718731867,POINT (-87.718731867 41.772344184)
13749422,JJ150173,02/15/2025 02:22:00 AM,032XX W CERMAK RD,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,GAS STATION,true,false,1022,010,24,30,26,1155271,1889197,2025,02/23/2025 03:41:06 PM,41.851761264,-87.705602716,POINT (-87.705602716 41.851761264)
13749416,JJ150152,02/15/2025 02:21:00 AM,016XX W DIVISION ST,0460,BATTERY,SIMPLE,STREET,true,false,1424,014,1,24,08B,1165352,1908069,2025,02/23/2025 03:41:06 PM,41.903339394,-87.66806597,POINT (-87.66806597 41.903339394)
13749380,JJ150156,02/15/2025 02:15:00 AM,065XX S ARTESIAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0832,008,16,66,15,1161164,1861259,2025,02/23/2025 03:41:06 PM,41.774975749,-87.684747752,POINT (-87.684747752 41.774975749)
